threshold,macro_f1,pathogenic_f1,benign_f1,pathogenic_precision,pathogenic_recall,benign_precision,benign_recall,balanced_accuracy,tn,fp,fn,tp,pr_auc,roc_auc,dataset,fold,train_rows,valid_rows
0.5,0.8766798418972332,0.9272727272727272,0.8260869565217391,0.9107142857142857,0.9444444444444444,0.8636363636363636,0.7916666666666666,0.8680555555555556,19,5,3,51,0.9350435994285848,0.9128086419753088,KANSER,1,310,78
0.5,0.8282282282282283,0.9009009009009009,0.7555555555555555,0.8771929824561403,0.9259259259259259,0.8095238095238095,0.7083333333333334,0.8171296296296297,17,7,4,50,0.9152124605800706,0.8557098765432098,KANSER,2,310,78
0.5,0.8555258283597448,0.9203539823008849,0.7906976744186046,0.8813559322033898,0.9629629629629629,0.8947368421052632,0.7083333333333334,0.8356481481481481,17,7,2,52,0.9173098980513252,0.8549382716049382,KANSER,3,310,78
0.5,0.8952380952380952,0.9333333333333333,0.8571428571428571,0.9423076923076923,0.9245283018867925,0.84,0.875,0.8997641509433962,21,3,4,49,0.9669658985433948,0.9410377358490566,KANSER,4,311,77
0.5,0.9070048309178744,0.9444444444444444,0.8695652173913043,0.9272727272727272,0.9622641509433962,0.9090909090909091,0.8333333333333334,0.8977987421383649,20,4,2,51,0.9857105778358917,0.9661949685534592,KANSER,5,311,77
0.5,0.8876311998353571,0.9380530973451328,0.8372093023255814,0.8983050847457628,0.9814814814814815,0.9473684210526315,0.75,0.8657407407407407,18,6,1,53,0.9761624381683436,0.9544753086419754,KANSER,6,310,78
0.5,0.8282282282282283,0.9009009009009009,0.7555555555555555,0.8771929824561403,0.9259259259259259,0.8095238095238095,0.7083333333333334,0.8171296296296297,17,7,4,50,0.8795341321023448,0.8449074074074074,KANSER,7,310,78
0.5,0.8629709154792113,0.9174311926605505,0.8085106382978723,0.9090909090909091,0.9259259259259259,0.8260869565217391,0.7916666666666666,0.8587962962962963,19,5,4,50,0.9655150071985711,0.9382716049382716,KANSER,8,310,78
0.5,0.8952380952380952,0.9333333333333333,0.8571428571428571,0.9423076923076923,0.9245283018867925,0.84,0.875,0.8997641509433962,21,3,4,49,0.9547986550969142,0.9331761006289307,KANSER,9,311,77
0.5,0.8009544641081726,0.8785046728971962,0.723404255319149,0.8703703703703703,0.8867924528301887,0.7391304347826086,0.7083333333333334,0.7975628930817611,17,7,6,47,0.9291768013362119,0.8742138364779874,KANSER,10,311,77
0.5,0.8370927318295739,0.9122807017543859,0.7619047619047619,0.8666666666666667,0.9629629629629629,0.8888888888888888,0.6666666666666666,0.8148148148148148,16,8,2,52,0.9757975496036662,0.9459876543209877,KANSER,11,310,78
0.5,0.8234204568841326,0.9026548672566371,0.7441860465116279,0.864406779661017,0.9444444444444444,0.8421052631578947,0.6666666666666666,0.8055555555555556,16,8,3,51,0.9169096539861282,0.8518518518518519,KANSER,12,310,78
0.5,0.8934218231504978,0.9357798165137615,0.851063829787234,0.9272727272727272,0.9444444444444444,0.8695652173913043,0.8333333333333334,0.8888888888888888,20,4,3,51,0.9241804093026603,0.9174382716049383,KANSER,13,310,78
0.5,0.9111538461538462,0.9423076923076923,0.88,0.9607843137254902,0.9245283018867925,0.8461538461538461,0.9166666666666666,0.9205974842767295,22,2,4,49,0.9896262434891072,0.9803459119496855,KANSER,14,311,77
0.5,0.7830112721417068,0.8703703703703703,0.6956521739130435,0.8545454545454545,0.8867924528301887,0.7272727272727273,0.6666666666666666,0.7767295597484276,16,8,6,47,0.9042597751601089,0.8419811320754718,KANSER,15,311,77
