threshold,macro_f1,pathogenic_f1,benign_f1,pathogenic_precision,pathogenic_recall,benign_precision,benign_recall,balanced_accuracy,tn,fp,fn,tp,pr_auc,roc_auc,dataset,fold,train_rows,valid_rows
0.5,0.8486842105263157,0.9473684210526315,0.75,0.9,1.0,1.0,0.6,0.8,3,2,0,18,0.9939896036387266,0.9777777777777779,CFTR,1,88,23
0.5,0.6944444444444444,0.8888888888888888,0.5,0.8888888888888888,0.8888888888888888,0.5,0.5,0.6944444444444444,2,2,2,16,0.9560718716936467,0.8194444444444444,CFTR,2,89,22
0.5,0.8070175438596491,0.9473684210526315,0.6666666666666666,0.9,1.0,1.0,0.5,0.75,2,2,0,18,1.0000000000000002,1.0,CFTR,3,89,22
0.5,0.8472222222222222,0.9444444444444444,0.75,0.9444444444444444,0.9444444444444444,0.75,0.75,0.8472222222222222,3,1,1,17,0.9656617846568829,0.8611111111111112,CFTR,4,89,22
0.5,0.915057915057915,0.972972972972973,0.8571428571428571,0.9473684210526315,1.0,1.0,0.75,0.875,3,1,0,18,0.9835457038565916,0.9305555555555556,CFTR,5,89,22
0.5,0.7927927927927928,0.918918918918919,0.6666666666666666,0.8947368421052632,0.9444444444444444,0.75,0.6,0.7722222222222221,3,2,1,17,0.9736071369004806,0.9,CFTR,6,88,23
0.5,0.8070175438596491,0.9473684210526315,0.6666666666666666,0.9,1.0,1.0,0.5,0.75,2,2,0,18,0.9721840003057753,0.875,CFTR,7,89,22
0.5,0.915057915057915,0.972972972972973,0.8571428571428571,0.9473684210526315,1.0,1.0,0.75,0.875,3,1,0,18,1.0000000000000002,1.0,CFTR,8,89,22
0.5,0.8181818181818181,0.9090909090909091,0.7272727272727273,1.0,0.8333333333333334,0.5714285714285714,1.0,0.9166666666666667,4,0,3,15,1.0000000000000002,1.0,CFTR,9,89,22
0.5,0.9301587301587302,0.9714285714285714,0.8888888888888888,1.0,0.9444444444444444,0.8,1.0,0.9722222222222222,4,0,1,17,1.0000000000000002,1.0,CFTR,10,89,22
0.5,0.9402597402597402,0.9714285714285714,0.9090909090909091,1.0,0.9444444444444444,0.8333333333333334,1.0,0.9722222222222222,5,0,1,17,0.997076023391813,0.9888888888888889,CFTR,11,88,23
0.5,0.915057915057915,0.972972972972973,0.8571428571428571,0.9473684210526315,1.0,1.0,0.75,0.875,3,1,0,18,0.9939896036387266,0.9722222222222222,CFTR,12,89,22
0.5,0.6140350877192983,0.8947368421052632,0.3333333333333333,0.85,0.9444444444444444,0.5,0.25,0.5972222222222222,1,3,1,17,0.950251765873541,0.7916666666666667,CFTR,13,89,22
0.5,0.9301587301587302,0.9714285714285714,0.8888888888888888,1.0,0.9444444444444444,0.8,1.0,0.9722222222222222,4,0,1,17,1.0000000000000002,1.0,CFTR,14,89,22
0.5,0.915057915057915,0.972972972972973,0.8571428571428571,0.9473684210526315,1.0,1.0,0.75,0.875,3,1,0,18,0.9795774498883376,0.9166666666666666,CFTR,15,89,22
0.5,0.8722222222222222,0.9444444444444444,0.8,0.9444444444444444,0.9444444444444444,0.8,0.8,0.8722222222222222,4,1,1,17,0.9769458709409691,0.9222222222222222,CFTR,16,88,23
0.5,0.9301587301587302,0.9714285714285714,0.8888888888888888,1.0,0.9444444444444444,0.8,1.0,0.9722222222222222,4,0,1,17,0.997076023391813,0.9861111111111112,CFTR,17,89,22
0.5,0.9301587301587302,0.9714285714285714,0.8888888888888888,1.0,0.9444444444444444,0.8,1.0,0.9722222222222222,4,0,1,17,0.997076023391813,0.9861111111111112,CFTR,18,89,22
0.5,0.6615384615384616,0.9230769230769231,0.4,0.8571428571428571,1.0,1.0,0.25,0.625,1,3,0,18,0.9523960153862117,0.7916666666666666,CFTR,19,89,22
0.5,0.7904761904761904,0.9142857142857143,0.6666666666666666,0.9411764705882353,0.8888888888888888,0.6,0.75,0.8194444444444444,3,1,2,16,0.9653653786587224,0.8472222222222222,CFTR,20,89,22
0.5,0.9309309309309309,0.972972972972973,0.8888888888888888,0.9473684210526315,1.0,1.0,0.8,0.9,4,1,0,18,1.0000000000000002,1.0,CFTR,21,88,23
0.5,0.8472222222222222,0.9444444444444444,0.75,0.9444444444444444,0.9444444444444444,0.75,0.75,0.8472222222222222,3,1,1,17,0.980914124909223,0.9166666666666666,CFTR,22,89,22
0.5,0.8070175438596491,0.9473684210526315,0.6666666666666666,0.9,1.0,1.0,0.5,0.75,2,2,0,18,0.969910833204177,0.875,CFTR,23,89,22
0.5,0.8472222222222222,0.9444444444444444,0.75,0.9444444444444444,0.9444444444444444,0.75,0.75,0.8472222222222222,3,1,1,17,0.9769458709409691,0.9027777777777778,CFTR,24,89,22
0.5,0.8705882352941177,0.9411764705882353,0.8,1.0,0.8888888888888888,0.6666666666666666,1.0,0.9444444444444444,4,0,2,16,0.9944444444444447,0.9722222222222222,CFTR,25,89,22
