threshold,macro_f1,pathogenic_f1,benign_f1,pathogenic_precision,pathogenic_recall,benign_precision,benign_recall,balanced_accuracy,tn,fp,fn,tp,pr_auc,roc_auc,dataset,fold,train_rows,valid_rows
0.5,0.8015873015873016,0.9365079365079365,0.6666666666666666,0.921875,0.9516129032258065,0.7272727272727273,0.6153846153846154,0.783498759305211,8,5,3,59,0.955075537876777,0.8610421836228288,PAH,1,297,75
0.5,0.736,0.912,0.56,0.9047619047619048,0.9193548387096774,0.5833333333333334,0.5384615384615384,0.7289081885856079,7,6,5,57,0.9042602536628949,0.706575682382134,PAH,2,297,75
0.5,0.5266524520255863,0.9104477611940298,0.14285714285714285,0.8472222222222222,0.9838709677419355,0.5,0.08333333333333333,0.5336021505376344,1,11,1,61,0.9468389239973973,0.7795698924731183,PAH,3,298,74
0.5,0.8057742782152231,0.9448818897637795,0.6666666666666666,0.9230769230769231,0.967741935483871,0.7777777777777778,0.5833333333333334,0.7755376344086022,7,5,2,60,0.9677229114681666,0.8649193548387096,PAH,4,298,74
0.5,0.5919799498746867,0.9172932330827067,0.26666666666666666,0.8591549295774648,0.9838709677419355,0.6666666666666666,0.16666666666666666,0.5752688172043011,2,10,1,61,0.9590908119945758,0.8212365591397849,PAH,5,298,74
0.5,0.6954595791805094,0.9147286821705426,0.47619047619047616,0.8805970149253731,0.9516129032258065,0.625,0.38461538461538464,0.6681141439205955,5,8,3,59,0.9410751327601007,0.7816377171215881,PAH,6,297,75
0.5,0.6351172047766475,0.9172932330827067,0.35294117647058826,0.8591549295774648,0.9838709677419355,0.75,0.23076923076923078,0.6073200992555832,3,10,1,61,0.9342183393979457,0.7593052109181142,PAH,7,297,75
0.5,0.6947881514810649,0.9133858267716536,0.47619047619047616,0.8923076923076924,0.9354838709677419,0.5555555555555556,0.4166666666666667,0.6760752688172043,5,7,4,58,0.9496974748048886,0.793010752688172,PAH,8,298,74
0.5,0.8057742782152231,0.9448818897637795,0.6666666666666666,0.9230769230769231,0.967741935483871,0.7777777777777778,0.5833333333333334,0.7755376344086022,7,5,2,60,0.9799069416215047,0.9086021505376344,PAH,9,298,74
0.5,0.6678906568747449,0.9147286821705426,0.42105263157894735,0.8805970149253731,0.9516129032258065,0.5714285714285714,0.3333333333333333,0.6424731182795699,4,8,3,59,0.9512010626567279,0.8064516129032258,PAH,10,298,74
0.5,0.7175624786032181,0.9133858267716536,0.5217391304347826,0.8923076923076924,0.9354838709677419,0.6,0.46153846153846156,0.6985111662531017,6,7,4,58,0.930072880156052,0.7369727047146402,PAH,11,297,75
0.5,0.6685415829650462,0.916030534351145,0.42105263157894735,0.8695652173913043,0.967741935483871,0.6666666666666666,0.3076923076923077,0.6377171215880894,4,9,2,60,0.9269675356667963,0.7406947890818859,PAH,12,297,75
0.5,0.8490412076703386,0.9612403100775194,0.7368421052631579,0.9253731343283582,1.0,1.0,0.5833333333333334,0.7916666666666667,7,5,0,62,0.9653258692489451,0.8911290322580645,PAH,13,298,74
0.5,0.6653913043478261,0.896,0.43478260869565216,0.8888888888888888,0.9032258064516129,0.45454545454545453,0.4166666666666667,0.6599462365591398,5,7,6,56,0.9494849453719645,0.7876344086021505,PAH,14,298,74
0.5,0.6661654135338346,0.9323308270676691,0.4,0.8732394366197183,1.0,1.0,0.25,0.625,3,9,0,62,0.9450044502422918,0.7849462365591398,PAH,15,298,74
