dataset,threshold,macro_f1,pathogenic_f1,benign_f1,pathogenic_precision,pathogenic_recall,benign_precision,benign_recall,balanced_accuracy,tn,fp,fn,tp,pr_auc,roc_auc
KANSER,0.05,0.5486486791728313,0.8383045525902669,0.2589928057553957,0.7235772357723578,0.996268656716418,0.9473684210526315,0.15,0.573134328358209,18,102,1,267,0.9355001429364547,0.9050062189054725
KANSER,0.06,0.5950424005218525,0.8476190476190476,0.3424657534246575,0.7375690607734806,0.996268656716418,0.9615384615384616,0.20833333333333334,0.6023009950248757,25,95,1,267,0.9355001429364547,0.9050062189054725
KANSER,0.07,0.6493065295309335,0.8599033816425121,0.43870967741935485,0.7563739376770539,0.996268656716418,0.9714285714285714,0.2833333333333333,0.6398009950248756,34,86,1,267,0.9355001429364547,0.9050062189054725
KANSER,0.08,0.6825935464323587,0.8682926829268293,0.4968944099378882,0.7694524495677233,0.996268656716418,0.975609756097561,0.3333333333333333,0.6648009950248757,40,80,1,267,0.9355001429364547,0.9050062189054725
KANSER,0.09,0.7113095238095238,0.875,0.5476190476190477,0.7823529411764706,0.9925373134328358,0.9583333333333334,0.38333333333333336,0.6879353233830846,46,74,2,266,0.9355001429364547,0.9050062189054725
KANSER,0.09999999999999999,0.7359253827203098,0.8822553897180763,0.5895953757225434,0.7940298507462686,0.9925373134328358,0.9622641509433962,0.425,0.7087686567164179,51,69,2,266,0.9355001429364547,0.9050062189054725
KANSER,0.10999999999999999,0.7454528167340148,0.8851913477537438,0.6057142857142858,0.7987987987987988,0.9925373134328358,0.9636363636363636,0.44166666666666665,0.7171019900497513,53,67,2,266,0.9355001429364547,0.9050062189054725
KANSER,0.12,0.7730256743581411,0.8941176470588236,0.6519337016574586,0.8134556574923547,0.9925373134328358,0.9672131147540983,0.49166666666666664,0.7421019900497512,59,61,2,266,0.9355001429364547,0.9050062189054725
KANSER,0.13,0.7774817774817775,0.8956228956228957,0.6593406593406593,0.8159509202453987,0.9925373134328358,0.967741935483871,0.5,0.7462686567164178,60,60,2,266,0.9355001429364547,0.9050062189054725
KANSER,0.13999999999999999,0.7835276901266749,0.8967851099830795,0.6702702702702703,0.8204334365325078,0.9888059701492538,0.9538461538461539,0.5166666666666667,0.7527363184079603,62,58,3,265,0.9355001429364547,0.9050062189054725
KANSER,0.14999999999999997,0.7835276901266749,0.8967851099830795,0.6702702702702703,0.8204334365325078,0.9888059701492538,0.9538461538461539,0.5166666666666667,0.7527363184079603,62,58,3,265,0.9355001429364547,0.9050062189054725
KANSER,0.15999999999999998,0.7878622197922363,0.8983050847457628,0.6774193548387096,0.8229813664596274,0.9888059701492538,0.9545454545454546,0.525,0.7569029850746269,63,57,3,265,0.9355001429364547,0.9050062189054725
KANSER,0.16999999999999998,0.7964249529599075,0.9013605442176871,0.6914893617021277,0.828125,0.9888059701492538,0.9558823529411765,0.5416666666666666,0.7652363184079602,65,55,3,265,0.9355001429364547,0.9050062189054725
KANSER,0.18,0.8006543900922095,0.9028960817717206,0.6984126984126984,0.8307210031347962,0.9888059701492538,0.9565217391304348,0.55,0.7694029850746269,66,54,3,265,0.9355001429364547,0.9050062189054725
KANSER,0.19,0.8172397550635893,0.9090909090909091,0.7253886010362695,0.8412698412698413,0.9888059701492538,0.958904109589041,0.5833333333333334,0.7860696517412935,70,50,3,265,0.9355001429364547,0.9050062189054725
KANSER,0.19999999999999996,0.8225193525686136,0.9103448275862069,0.7346938775510204,0.8461538461538461,0.9850746268656716,0.9473684210526315,0.6,0.7925373134328357,72,48,4,264,0.9355001429364547,0.9050062189054725
KANSER,0.20999999999999996,0.8304847785816645,0.9134948096885813,0.7474747474747475,0.8516129032258064,0.9850746268656716,0.9487179487179487,0.6166666666666667,0.8008706467661691,74,46,4,264,0.9355001429364547,0.9050062189054725
KANSER,0.21999999999999997,0.8383333333333334,0.9166666666666666,0.76,0.8571428571428571,0.9850746268656716,0.95,0.6333333333333333,0.8092039800995025,76,44,4,264,0.9355001429364547,0.9050062189054725
KANSER,0.22999999999999998,0.8355007570841445,0.9147826086956522,0.7562189054726368,0.8566775244299675,0.9813432835820896,0.9382716049382716,0.6333333333333333,0.8073383084577115,76,44,5,263,0.9355001429364547,0.9050062189054725
KANSER,0.24,0.8393762721219857,0.9163763066202091,0.7623762376237624,0.8594771241830066,0.9813432835820896,0.9390243902439024,0.6416666666666667,0.8115049751243781,77,43,5,263,0.9355001429364547,0.9050062189054725
KANSER,0.24999999999999994,0.8393762721219857,0.9163763066202091,0.7623762376237624,0.8594771241830066,0.9813432835820896,0.9390243902439024,0.6416666666666667,0.8115049751243781,77,43,5,263,0.9355001429364547,0.9050062189054725
KANSER,0.25999999999999995,0.8393762721219857,0.9163763066202091,0.7623762376237624,0.8594771241830066,0.9813432835820896,0.9390243902439024,0.6416666666666667,0.8115049751243781,77,43,5,263,0.9355001429364547,0.9050062189054725
KANSER,0.26999999999999996,0.8432242367970839,0.9179755671902269,0.7684729064039408,0.8622950819672132,0.9813432835820896,0.9397590361445783,0.65,0.8156716417910448,78,42,5,263,0.9355001429364547,0.9050062189054725
