dataset,threshold,macro_f1,pathogenic_f1,benign_f1,pathogenic_precision,pathogenic_recall,benign_precision,benign_recall,balanced_accuracy,tn,fp,fn,tp,pr_auc,roc_auc
MASTER,0.4099999999999999,0.7497933764041673,0.8821954484605087,0.6173913043478261,0.8474067723960566,0.9199627733829688,0.7123745819397993,0.5447570332480819,0.7323599033155254,426,356,172,1977,0.9290314571919185,0.8528293062020162
MASTER,0.41999999999999993,0.7554590739300168,0.8819428828423657,0.6289752650176679,0.8533507397737162,0.9125174499767333,0.7030015797788309,0.5690537084398977,0.7407855792083156,445,337,188,1961,0.9290314571919185,0.8528293062020162
MASTER,0.42999999999999994,0.7590604476696466,0.8827772768259693,0.635343618513324,0.8561434193266287,0.9111214518380643,0.703416149068323,0.5792838874680307,0.7452026696530475,453,329,191,1958,0.9290314571919185,0.8528293062020162
MASTER,0.43999999999999995,0.7628378852913187,0.8835631924033461,0.6421125781792911,0.8592788038698329,0.9092601209865053,0.7031963470319634,0.5907928388746803,0.7500264799305928,462,320,195,1954,0.9290314571919185,0.8528293062020162
MASTER,0.4499999999999999,0.7630241724173684,0.8828461364151371,0.6432022084195997,0.8604240282685512,0.906468124709167,0.6986506746626686,0.5959079283887468,0.751188026548957,466,316,201,1948,0.9290314571919185,0.8528293062020162
MASTER,0.4599999999999999,0.7651074631538926,0.8826739427012278,0.6475409836065574,0.8630502445531347,0.903210795718939,0.6950146627565983,0.6061381074168798,0.7546744515679094,474,308,208,1941,0.9290314571919185,0.8528293062020162
MASTER,0.4699999999999999,0.7679098959199896,0.882648401826484,0.6531713900134952,0.8664276109367997,0.8994881340158213,0.6914285714285714,0.618925831202046,0.7592069826089336,484,298,216,1933,0.9290314571919185,0.8528293062020162
MASTER,0.4799999999999999,0.7700398664254086,0.8827838827838828,0.6572958500669344,0.8688598467778279,0.8971614704513727,0.6896067415730337,0.6278772378516624,0.7625193541515176,491,291,221,1928,0.9290314571919185,0.8528293062020162
MASTER,0.48999999999999994,0.7682169013032942,0.8808266360505167,0.6556071665560717,0.8694469628286491,0.8925081433224755,0.6813793103448276,0.6317135549872123,0.7621108491548438,494,288,231,1918,0.9290314571919185,0.8528293062020162
MASTER,0.49999999999999994,0.7685741823765806,0.8796680497925311,0.65748031496063,0.8716308816811329,0.8878548161935784,0.6752021563342318,0.6406649616368286,0.7642598889152035,501,281,241,1908,0.9290314571919185,0.8528293062020162
MASTER,0.5099999999999999,0.7686686492491812,0.8789279112754159,0.6584093872229465,0.8728774667278568,0.8850628199162401,0.6715425531914894,0.6457800511508951,0.7654214355335676,505,277,247,1902,0.9290314571919185,0.8528293062020162
MASTER,0.5199999999999999,0.7662076123078909,0.8760445682451253,0.6563706563706564,0.8740157480314961,0.8780828292228944,0.6606217616580311,0.6521739130434783,0.7651283711331863,510,272,262,1887,0.9290314571919185,0.8528293062020162
MASTER,0.5299999999999999,0.7662899177515504,0.8752908329455561,0.6572890025575447,0.8752908329455561,0.8752908329455561,0.6572890025575447,0.6572890025575447,0.7662899177515504,514,268,268,1881,0.9290314571919185,0.8528293062020162
MASTER,0.5399999999999999,0.7681016968840676,0.8754664179104478,0.6607369758576874,0.8775128564749883,0.8734295020939972,0.6565656565656566,0.6649616368286445,0.7691955694613208,520,262,272,1877,0.9290314571919185,0.8528293062020162
MASTER,0.5499999999999999,0.7693932264562601,0.8750584932147871,0.663727959697733,0.88,0.8701721731037692,0.6538461538461539,0.6739130434782609,0.772042608291015,527,255,279,1870,0.9290314571919185,0.8528293062020162
MASTER,0.5599999999999999,0.7720194920010237,0.875703564727955,0.6683354192740926,0.88274231678487,0.8687761749651001,0.6544117647058824,0.6828644501278772,0.7758203125464886,534,248,282,1867,0.9290314571919185,0.8528293062020162
MASTER,0.57,0.7724088800312929,0.8744405182567727,0.6703772418058133,0.8854961832061069,0.8636575151233131,0.6491017964071857,0.6930946291560103,0.7783760721396618,542,240,293,1856,0.9290314571919185,0.8528293062020162
MASTER,0.58,0.7715721056057425,0.8731995277449823,0.6699446834665027,0.886385426653883,0.8604001861330851,0.6449704142011834,0.69693094629156,0.7786655662123225,545,237,300,1849,0.9290314571919185,0.8528293062020162
MASTER,0.59,0.7705685087405114,0.8716248223590716,0.6695121951219513,0.8876025084418717,0.8562121917170777,0.6398601398601399,0.7020460358056266,0.7791291137613522,549,233,309,1840,0.9290314571919185,0.8528293062020162
MASTER,0.6,0.7705741172407838,0.8708452041785375,0.6703030303030303,0.8889966068831798,0.8534201954397395,0.6370967741935484,0.7071611253196931,0.7802906603797163,553,229,315,1834,0.9290314571919185,0.8528293062020162
MASTER,0.61,0.7693965242357221,0.8693168293263509,0.6694762191450934,0.8898635477582846,0.8496975337366217,0.6325369738339022,0.710997442455243,0.7803474880959324,556,226,323,1826,0.9290314571919185,0.8528293062020162
MASTER,0.62,0.7680484388877502,0.8670492587278814,0.669047619047619,0.8917855386128873,0.8436482084690554,0.6258351893095768,0.7186700767263428,0.7811591425976991,562,220,336,1813,0.9290314571919185,0.8528293062020162
MASTER,0.63,0.7665319987747603,0.8648259303721488,0.6682380671773719,0.8933531746031746,0.8380642159143787,0.6196721311475409,0.7250639386189258,0.7815640772666523,567,215,348,1801,0.9290314571919185,0.8528293062020162
MASTER,0.6399999999999999,0.7658267546048994,0.8626599082790248,0.6689936009307738,0.8961885656970913,0.8315495579339227,0.6136606189967982,0.7352941176470589,0.7834218377904908,575,207,362,1787,0.9290314571919185,0.8528293062020162
MASTER,0.6499999999999999,0.7646307545236997,0.860673612793797,0.6685878962536023,0.897876643073812,0.8264308980921359,0.608604407135362,0.7416879795396419,0.7840594388158889,580,202,373,1776,0.9290314571919185,0.8528293062020162
MASTER,0.6599999999999999,0.759830211085361,0.8560292326431181,0.6636311895276039,0.8982617586912065,0.8175895765472313,0.597948717948718,0.7455242966751918,0.7815569366112116,583,199,392,1757,0.9290314571919185,0.8528293062020162
MASTER,0.6699999999999999,0.7566800029241469,0.852314474650992,0.6610455311973018,0.8996897621509824,0.8096789204281061,0.5897693079237714,0.7519181585677749,0.7807985394979404,588,194,409,1740,0.9290314571919185,0.8528293062020162
MASTER,0.6799999999999999,0.7530444626673777,0.8479171801824008,0.6581717451523545,0.9014675052410901,0.8003722661703118,0.5806451612903226,0.7595907928388747,0.7799815295045932,594,188,429,1720,0.9290314571919185,0.8528293062020162
MASTER,0.69,0.7520990805252556,0.8447976160913832,0.659400544959128,0.9057507987220448,0.7915309446254072,0.5745489078822412,0.7736572890025576,0.7825941168139824,605,177,448,1701,0.9290314571919185,0.8528293062020162
MASTER,0.7,0.7497494045206012,0.8414481897627965,0.658050619278406,0.9078663793103449,0.7840856212191717,0.5683720930232559,0.7813299232736572,0.7827077722464144,611,171,464,1685,0.9290314571919185,0.8528293062020162
MASTER,0.71,0.7453672517546224,0.8368473895582329,0.6538871139510117,0.9084468664850136,0.7757096323871568,0.5602189781021898,0.7851662404092071,0.7804379363981819,614,168,482,1667,0.9290314571919185,0.8528293062020162
MASTER,0.72,0.739980668396801,0.830379746835443,0.649581589958159,0.9106052193225985,0.7631456491391345,0.5495575221238939,0.7941176470588235,0.778631648098979,621,161,509,1640,0.9290314571919185,0.8528293062020162
MASTER,0.73,0.7379575146380588,0.8271824891829982,0.6487325400931195,0.9129213483146067,0.7561656584457888,0.5447437011294527,0.8017902813299232,0.7789779698878561,627,155,524,1625,0.9290314571919185,0.8528293062020162
MASTER,0.74,0.7335340385533758,0.8214468958440225,0.6456211812627292,0.9153802172670097,0.7449976733364355,0.5363790186125211,0.8107416879795396,0.7778696806579876,634,148,548,1601,0.9290314571919185,0.8528293062020162
MASTER,0.7499999999999999,0.7287166947257164,0.8159049832171443,0.6415284062342886,0.9164733178654292,0.7352256863657515,0.5285832642916322,0.8158567774936062,0.7755412319296788,638,144,569,1580,0.9290314571919185,0.8528293062020162
MASTER,0.7599999999999999,0.722220037354786,0.8088426527958388,0.6355974219137333,0.9168632075471698,0.7235923685435086,0.5190283400809717,0.819693094629156,0.7716427315863323,641,141,594,1555,0.9290314571919185,0.8528293062020162
MASTER,0.7699999999999999,0.7178319535451448,0.8016833245660179,0.6339805825242718,0.9219600725952813,0.7091670544439274,0.5109546165884195,0.8350383631713555,0.7721027088076414,653,129,625,1524,0.9290314571919185,0.8528293062020162
MASTER,0.7799999999999999,0.7134764958480264,0.7960805084745762,0.6308724832214765,0.9237861094038107,0.6993950674732433,0.504601226993865,0.8414322250639387,0.770413646268591,658,124,646,1503,0.9290314571919185,0.8528293062020162
MASTER,0.7899999999999999,0.7024341553734161,0.7831454643048846,0.6217228464419475,0.9251743817374762,0.6789204281060959,0.49039881831610044,0.8491048593350383,0.7640126437205671,664,118,690,1459,0.9290314571919185,0.8528293062020162
MASTER,0.7999999999999999,0.6910030749622398,0.7696491705194451,0.6123569794050343,0.9260471204188482,0.6584457887389483,0.4768353528153956,0.8554987212276215,0.7569722549832849,669,113,734,1415,0.9290314571919185,0.8528293062020162
MASTER,0.8099999999999999,0.6761365817644888,0.7513842746400886,0.6008888888888889,0.9275461380724539,0.6314564913913449,0.4604904632152589,0.8644501278772379,0.7479533096342914,676,106,792,1357,0.9290314571919185,0.8528293062020162
MASTER,0.82,0.661869641217142,0.7331642716258101,0.5905750108084739,0.9292857142857143,0.6053978594695207,0.44611365120836055,0.8734015345268542,0.7393996969981875,683,99,848,1301,0.9290314571919185,0.8528293062020162
MASTER,0.83,0.6446932901286382,0.711123886174188,0.5782626940830885,0.9300751879699248,0.5756165658445789,0.43035602748282326,0.881074168797954,0.7283453673212664,689,93,912,1237,0.9290314571919185,0.8528293062020162
MASTER,0.84,0.6273612365753287,0.6872427983539094,0.567479674796748,0.9329608938547486,0.5439739413680782,0.4159713945172825,0.8925831202046036,0.7182785307863409,698,84,980,1169,0.9290314571919185,0.8528293062020162
MASTER,0.8499999999999999,0.607480789013354,0.6598434677904876,0.5551181102362205,0.9343563512361467,0.5100046533271289,0.40102389078498296,0.90153452685422,0.7057695900906744,705,77,1053,1096,0.9290314571919185,0.8528293062020162
MASTER,0.8599999999999999,0.5854848557464439,0.6298921417565485,0.5410775697363394,0.9324817518248175,0.4755700325732899,0.3858310626702997,0.9053708439897699,0.6904704382815299,708,74,1127,1022,0.9290314571919185,0.8528293062020162
MASTER,0.8699999999999999,0.5633996125178471,0.597213426219126,0.5295857988165681,0.9345887016848364,0.4388087482550023,0.372528616024974,0.9156010230179028,0.6772048856364525,716,66,1206,943,0.9290314571919185,0.8528293062020162
MASTER,0.8799999999999999,0.5355829893934092,0.554280091833388,0.5168858869534305,0.9388888888888889,0.3932061423918101,0.3579517479074348,0.9296675191815856,0.6614368307866979,727,55,1304,845,0.9290314571919185,0.8528293062020162
MASTER,0.8899999999999999,0.5018736514505433,0.5006839945280438,0.5030633083730429,0.944516129032258,0.3406235458352722,0.3427643784786642,0.9450127877237852,0.6428181667795287,739,43,1417,732,0.9290314571919185,0.8528293062020162
MASTER,0.8999999999999999,0.4644720262096774,0.43870967741935485,0.490234375,0.9547581903276131,0.2847836202885063,0.32882096069868993,0.9629156010230179,0.623849610655762,753,29,1537,612,0.9290314571919185,0.8528293062020162
MASTER,0.9099999999999999,0.4380270421361978,0.39392817475009256,0.48212590952230305,0.9637681159420289,0.247557003257329,0.3203026481715006,0.9744245524296675,0.6109907778434982,762,20,1617,532,0.9290314571919185,0.8528293062020162
MASTER,0.9199999999999999,0.39761021219932136,0.3264990328820116,0.46872139151663106,0.9678899082568807,0.19637040483946022,0.30781563126252504,0.9820971867007673,0.5892337957701137,768,14,1727,422,0.9290314571919185,0.8528293062020162
MASTER,0.9299999999999999,0.3669811446414742,0.2747603833865815,0.4592019058963669,0.9690140845070423,0.16007445323406236,0.29930124223602483,0.9859335038363172,0.5730039785351898,771,11,1805,344,0.9290314571919185,0.8528293062020162
MASTER,0.94,0.337982270058638,0.22414503502266173,0.45181950509461427,0.9784172661870504,0.1265704979060028,0.2924990576705616,0.9923273657289002,0.5594489318174515,776,6,1877,272,0.9290314571919185,0.8528293062020162
MASTER,0.95,0.3047064107140801,0.16616957818491693,0.44324324324324327,0.9848484848484849,0.09073987901349465,0.2850347603366264,0.9961636828644501,0.5434517809389724,779,3,1954,195,0.9290314571919185,0.8528293062020162
